,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
604279,宜蘭空品區,冬山,2018-01-01 00:00:00,0,40.0,43.5,36.56978094265,-3.4302190573500013,TT_DOWN
604280,宜蘭空品區,冬山,2018-01-01 01:00:00,1,41.0,42.8,35.94173164392,-5.058268356079999,TT_DOWN
604281,宜蘭空品區,冬山,2018-01-01 02:00:00,2,43.0,42.3,35.49312500197,-7.50687499803,TT_DOWN
604282,宜蘭空品區,冬山,2018-01-01 03:00:00,3,43.0,40.7,34.05758374773,-8.94241625227,TT_DOWN
604283,宜蘭空品區,冬山,2018-01-01 04:00:00,4,43.0,44.1,37.10810891299,-5.891891087010002,TT_DOWN
604284,宜蘭空品區,冬山,2018-01-01 05:00:00,5,43.0,40.8,34.14730507612,-8.852694923880001,TT_DOWN
604285,宜蘭空品區,冬山,2018-01-01 06:00:00,6,42.0,36.2,30.020123970180002,-11.979876029819998,TT_DOWN
604286,宜蘭空品區,冬山,2018-01-01 07:00:00,7,40.0,32.7,26.87987747653,-13.120122523469998,TT_DOWN
604287,宜蘭空品區,冬山,2018-01-01 08:00:00,8,39.0,29.3,23.82935231127,-15.17064768873,TT_DOWN
604288,宜蘭空品區,冬山,2018-01-01 09:00:00,9,37.0,32.7,26.87987747653,-10.120122523469998,TT_DOWN
604289,宜蘭空品區,冬山,2018-01-01 10:00:00,10,37.0,35.7,29.57151732823,-7.4284826717699985,TT_DOWN
604290,宜蘭空品區,冬山,2018-01-01 11:00:00,11,36.0,32.5,26.70043481975,-9.29956518025,TT_DOWN
604291,宜蘭空品區,冬山,2018-01-01 12:00:00,12,33.0,28.0,22.6629750422,-10.3370249578,TT_DOWN
604292,宜蘭空品區,冬山,2018-01-01 13:00:00,13,32.0,27.7,22.39381105703,-9.60618894297,TT_DOWN
604293,宜蘭空品區,冬山,2018-01-01 14:00:00,14,32.0,40.9,34.23702640451,2.2370264045099972,TT_DOWN
604294,宜蘭空品區,冬山,2018-01-01 15:00:00,15,32.0,30.7,25.08545090873,-6.9145490912700005,TT_DOWN
604295,宜蘭空品區,冬山,2018-01-01 16:00:00,16,32.0,26.0,20.8685484744,-11.1314515256,TT_DOWN
604296,宜蘭空品區,冬山,2018-01-01 17:00:00,17,31.0,22.5,17.72830198075,-13.27169801925,TT_DOWN
604297,宜蘭空品區,冬山,2018-01-01 18:00:00,18,29.0,24.3,19.34328589177,-9.656714108229998,TT_DOWN
604298,宜蘭空品區,冬山,2018-01-01 19:00:00,19,29.0,32.0,26.2518281778,-2.7481718222,TT_DOWN
604299,宜蘭空品區,冬山,2018-01-01 20:00:00,20,29.0,26.5,21.31715511635,-7.682844883649999,TT_DOWN
604300,宜蘭空品區,冬山,2018-01-01 21:00:00,21,28.0,20.1,15.57499009939,-12.42500990061,TT_DOWN
604301,宜蘭空品區,冬山,2018-01-01 22:00:00,22,25.0,16.5,12.345022277350001,-12.654977722649999,TT_DOWN
604302,宜蘭空品區,冬山,2018-01-01 23:00:00,23,24.0,21.8,17.100252682020002,-6.8997473179799975,TT_DOWN
604303,宜蘭空品區,冬山,2018-01-02 00:00:00,0,23.0,23.6,18.71523659304,-4.28476340696,TT_DOWN
604304,宜蘭空品區,冬山,2018-01-02 01:00:00,1,24.0,26.0,20.8685484744,-3.1314515255999993,TT_DOWN
604305,宜蘭空品區,冬山,2018-01-02 02:00:00,2,25.0,33.2,27.328484118480002,2.3284841184800023,TT_DOWN
604306,宜蘭空品區,冬山,2018-01-02 03:00:00,3,25.0,35.2,29.122910686280004,4.1229106862800045,TT_DOWN
604307,宜蘭空品區,冬山,2018-01-02 04:00:00,4,26.0,27.6,22.30408972864,-3.695910271359999,TT_DOWN
604308,宜蘭空品區,冬山,2018-01-02 05:00:00,5,27.0,31.5,25.80322153585,-1.1967784641500003,TT_DOWN
604309,宜蘭空品區,冬山,2018-01-02 06:00:00,6,28.0,22.3,17.54885932397,-10.45114067603,TT_DOWN
604310,宜蘭空品區,冬山,2018-01-02 07:00:00,7,27.0,14.4,10.46087438116,-16.53912561884,TT_DOWN
604311,宜蘭空品區,冬山,2018-01-02 08:00:00,8,25.0,7.6,4.35982405064,-20.64017594936,TT_DOWN
604312,宜蘭空品區,冬山,2018-01-02 09:00:00,9,23.0,15.1,11.08892367989,-11.91107632011,TT_DOWN
604313,宜蘭空品區,冬山,2018-01-02 10:00:00,10,21.0,15.3,11.26836633667,-9.73163366333,TT_DOWN
604314,宜蘭空品區,冬山,2018-01-02 11:00:00,11,19.0,19.8,15.30582611422,-3.6941738857799997,TT_DOWN
604315,宜蘭空品區,冬山,2018-01-02 12:00:00,12,19.0,26.7,21.49659777313,2.4965977731299986,TT_DOWN
604316,宜蘭空品區,冬山,2018-01-02 13:00:00,13,19.0,29.8,24.27795895322,5.277958953220001,TT_DOWN
604317,宜蘭空品區,冬山,2018-01-02 14:00:00,14,22.0,43.3,36.390338285869994,14.390338285869994,TT_DOWN
604318,宜蘭空品區,冬山,2018-01-02 15:00:00,15,24.0,35.1,29.033189357890002,5.033189357890002,TT_DOWN
604319,宜蘭空品區,冬山,2018-01-02 16:00:00,16,26.0,23.1,18.266629951090003,-7.733370048909997,TT_DOWN
604320,宜蘭空品區,冬山,2018-01-02 17:00:00,17,29.0,41.5,34.775354374850004,5.775354374850004,TT_DOWN
604321,宜蘭空品區,冬山,2018-01-02 18:00:00,18,32.0,39.5,32.98092780705,0.9809278070500014,TT_DOWN
604322,宜蘭空品區,冬山,2018-01-02 19:00:00,19,35.0,41.6,34.86507570324,-0.13492429675999773,TT_DOWN
604323,宜蘭空品區,冬山,2018-01-02 20:00:00,20,36.0,33.4,27.50792677526,-8.49207322474,TT_DOWN
604324,宜蘭空品區,冬山,2018-01-02 21:00:00,21,35.0,20.3,15.75443275617,-19.24556724383,TT_DOWN
604325,宜蘭空品區,冬山,2018-01-02 22:00:00,22,32.0,18.7,14.31889150193,-17.68110849807,TT_DOWN
604326,宜蘭空品區,冬山,2018-01-02 23:00:00,23,30.0,25.4,20.330220504059998,-9.669779495940002,TT_DOWN
604327,宜蘭空品區,冬山,2018-01-03 00:00:00,0,30.0,20.0,15.485268771000001,-14.514731228999999,TT_DOWN
604328,宜蘭空品區,冬山,2018-01-03 01:00:00,1,27.0,15.4,11.358087665060001,-15.641912334939999,TT_DOWN
604329,宜蘭空品區,冬山,2018-01-03 02:00:00,2,24.0,15.8,11.716972978620001,-12.283027021379999,TT_DOWN
604330,宜蘭空品區,冬山,2018-01-03 03:00:00,3,20.0,13.7,9.83282508243,-10.16717491757,TT_DOWN
604331,宜蘭空品區,冬山,2018-01-03 04:00:00,4,18.0,11.6,7.948677186239999,-10.05132281376,TT_DOWN
604332,宜蘭空品區,冬山,2018-01-03 05:00:00,5,17.0,13.4,9.56366109726,-7.436338902739999,TT_DOWN
604333,宜蘭空品區,冬山,2018-01-03 06:00:00,6,16.0,9.5,6.06452929005,-9.93547070995,TT_DOWN
604334,宜蘭空品區,冬山,2018-01-03 07:00:00,7,14.0,9.7,6.2439719468299995,-7.7560280531700005,TT_DOWN
604335,宜蘭空品區,冬山,2018-01-03 08:00:00,8,12.0,10.2,6.69257858878,-5.30742141122,TT_DOWN
604336,宜蘭空品區,冬山,2018-01-03 09:00:00,9,12.0,15.8,11.716972978620001,-0.2830270213799988,TT_DOWN
604338,宜蘭空品區,冬山,2018-01-03 11:00:00,11,14.0,24.6,19.61244987694,5.612449876940001,TT_DOWN
604339,宜蘭空品區,冬山,2018-01-03 12:00:00,12,16.0,31.3,25.623778879070002,9.623778879070002,TT_DOWN
604340,宜蘭空品區,冬山,2018-01-03 13:00:00,13,20.0,39.9,33.339813120609996,13.339813120609996,TT_DOWN
604341,宜蘭空品區,冬山,2018-01-03 14:00:00,14,23.0,31.9,26.162106849409998,3.162106849409998,TT_DOWN
604342,宜蘭空品區,冬山,2018-01-03 15:00:00,15,25.0,22.8,17.99746596592,-7.00253403408,TT_DOWN
604343,宜蘭空品區,冬山,2018-01-03 16:00:00,16,27.0,21.0,16.3824820549,-10.617517945100001,TT_DOWN
604344,宜蘭空品區,冬山,2018-01-03 17:00:00,17,27.0,16.7,12.52446493413,-14.47553506587,TT_DOWN
604345,宜蘭空品區,冬山,2018-01-03 18:00:00,18,25.0,14.5,10.55059570955,-14.44940429045,TT_DOWN
604346,宜蘭空品區,冬山,2018-01-03 19:00:00,19,24.0,10.7,7.1411852307300006,-16.858814769269998,TT_DOWN
604347,宜蘭空品區,冬山,2018-01-03 20:00:00,20,22.0,19.0,14.5880554871,-7.4119445129,TT_DOWN
604348,宜蘭空品區,冬山,2018-01-03 21:00:00,21,19.0,14.5,10.55059570955,-8.44940429045,TT_DOWN
604349,宜蘭空品區,冬山,2018-01-03 22:00:00,22,18.0,25.1,20.061056518890002,2.061056518890002,TT_DOWN
604350,宜蘭空品區,冬山,2018-01-03 23:00:00,23,18.0,25.1,20.061056518890002,2.061056518890002,TT_DOWN
604351,宜蘭空品區,冬山,2018-01-04 00:00:00,0,19.0,25.8,20.68910581762,1.6891058176199998,TT_DOWN
604352,宜蘭空品區,冬山,2018-01-04 01:00:00,1,20.0,25.2,20.15077784728,0.15077784728000054,TT_DOWN
604353,宜蘭空品區,冬山,2018-01-04 02:00:00,2,21.0,23.0,18.1769086227,-2.823091377299999,TT_DOWN
604354,宜蘭空品區,冬山,2018-01-04 03:00:00,3,22.0,20.1,15.57499009939,-6.42500990061,TT_DOWN
604355,宜蘭空品區,冬山,2018-01-04 04:00:00,4,22.0,19.6,15.126383457440003,-6.873616542559997,TT_DOWN
604356,宜蘭空品區,冬山,2018-01-04 05:00:00,5,22.0,13.4,9.56366109726,-12.43633890274,TT_DOWN
604357,宜蘭空品區,冬山,2018-01-04 06:00:00,6,21.0,12.2,8.48700515658,-12.51299484342,TT_DOWN
604358,宜蘭空品區,冬山,2018-01-04 07:00:00,7,18.0,5.1,2.11679084089,-15.88320915911,TT_DOWN
604359,宜蘭空品區,冬山,2018-01-04 08:00:00,8,17.0,14.2,10.281431724379999,-6.718568275620001,TT_DOWN
604360,宜蘭空品區,冬山,2018-01-04 09:00:00,9,17.0,25.1,20.061056518890002,3.061056518890002,TT_DOWN
604361,宜蘭空品區,冬山,2018-01-04 10:00:00,10,17.0,24.3,19.34328589177,2.3432858917700017,TT_DOWN
604362,宜蘭空品區,冬山,2018-01-04 11:00:00,11,18.0,28.1,22.75269637059,4.752696370590002,TT_DOWN
604363,宜蘭空品區,冬山,2018-01-04 12:00:00,12,20.0,34.4,28.405140059159997,8.405140059159997,TT_DOWN
604364,宜蘭空品區,冬山,2018-01-04 13:00:00,13,23.0,38.4,31.99399319476,8.993993194760002,TT_DOWN
604365,宜蘭空品區,冬山,2018-01-04 14:00:00,14,25.0,28.7,23.29102434093,-1.7089756590699992,TT_DOWN
604366,宜蘭空品區,冬山,2018-01-04 15:00:00,15,29.0,36.1,29.930402641790003,0.9304026417900033,TT_DOWN
604367,宜蘭空品區,冬山,2018-01-04 16:00:00,16,30.0,25.9,20.77882714601,-9.221172853990002,TT_DOWN
604368,宜蘭空品區,冬山,2018-01-04 17:00:00,17,29.0,13.4,9.56366109726,-19.436338902739998,TT_DOWN
604369,宜蘭空品區,冬山,2018-01-04 18:00:00,18,28.0,19.9,15.395547442609999,-12.604452557390001,TT_DOWN
604370,宜蘭空品區,冬山,2018-01-04 19:00:00,19,27.0,21.2,16.56192471168,-10.43807528832,TT_DOWN
604371,宜蘭空品區,冬山,2018-01-04 20:00:00,20,25.0,19.4,14.946940800659998,-10.053059199340002,TT_DOWN
604372,宜蘭空品區,冬山,2018-01-04 21:00:00,21,23.0,16.6,12.434743605740001,-10.565256394259999,TT_DOWN
604373,宜蘭空品區,冬山,2018-01-04 22:00:00,22,21.0,13.1,9.29449711209,-11.70550288791,TT_DOWN
604374,宜蘭空品區,冬山,2018-01-04 23:00:00,23,18.0,15.1,11.08892367989,-6.91107632011,TT_DOWN
604375,宜蘭空品區,冬山,2018-01-05 00:00:00,0,17.0,14.4,10.46087438116,-6.53912561884,TT_DOWN
604376,宜蘭空品區,冬山,2018-01-05 01:00:00,1,17.0,14.2,10.281431724379999,-6.718568275620001,TT_DOWN
604377,宜蘭空品區,冬山,2018-01-05 02:00:00,2,16.0,12.7,8.93561179853,-7.064388201470001,TT_DOWN
604378,宜蘭空品區,冬山,2018-01-05 03:00:00,3,14.0,6.6,3.4626107667399997,-10.53738923326,TT_DOWN
604379,宜蘭空品區,冬山,2018-01-05 04:00:00,4,13.0,9.9,6.42341460361,-6.57658539639,TT_DOWN
604380,宜蘭空品區,冬山,2018-01-05 05:00:00,5,12.0,8.2,4.89815202098,-7.10184797902,TT_DOWN
604381,宜蘭空品區,冬山,2018-01-05 06:00:00,6,11.0,5.6,2.5653974828399995,-8.43460251716,TT_DOWN
604382,宜蘭空品區,冬山,2018-01-05 07:00:00,7,9.0,4.1,1.2195775569899996,-7.78042244301,TT_DOWN
604383,宜蘭空品區,冬山,2018-01-05 08:00:00,8,8.0,3.8,0.95041357182,-7.04958642818,TT_DOWN
604384,宜蘭空品區,冬山,2018-01-05 09:00:00,9,8.0,12.9,9.11505445531,1.1150544553100001,TT_DOWN
604385,宜蘭空品區,冬山,2018-01-05 10:00:00,10,9.0,21.5,16.83108869685,7.831088696849999,TT_DOWN
604386,宜蘭空品區,冬山,2018-01-05 11:00:00,11,11.0,22.5,17.72830198075,6.72830198075,TT_DOWN
604387,宜蘭空品區,冬山,2018-01-05 12:00:00,12,12.0,21.2,16.56192471168,4.56192471168,TT_DOWN
604388,宜蘭空品區,冬山,2018-01-05 13:00:00,13,15.0,26.5,21.31715511635,6.317155116350001,TT_DOWN
604389,宜蘭空品區,冬山,2018-01-05 14:00:00,14,18.0,28.8,23.38074566932,5.3807456693199995,TT_DOWN
604390,宜蘭空品區,冬山,2018-01-05 15:00:00,15,21.0,30.8,25.17517223712,4.175172237120002,TT_DOWN
604391,宜蘭空品區,冬山,2018-01-05 16:00:00,16,24.0,29.7,24.18823762483,0.1882376248299984,TT_DOWN
604392,宜蘭空品區,冬山,2018-01-05 17:00:00,17,26.0,27.7,22.39381105703,-3.6061889429700003,TT_DOWN
604393,宜蘭空品區,冬山,2018-01-05 18:00:00,18,28.0,32.8,26.969598804919997,-1.0304011950800032,TT_DOWN
604394,宜蘭空品區,冬山,2018-01-05 19:00:00,19,29.0,34.6,28.58458271594,-0.41541728405999834,TT_DOWN
604395,宜蘭空品區,冬山,2018-01-05 20:00:00,20,31.0,37.3,31.007058582469995,0.00705858246999469,TT_DOWN
604396,宜蘭空品區,冬山,2018-01-05 21:00:00,21,32.0,32.0,26.2518281778,-5.7481718222,TT_DOWN
604397,宜蘭空品區,冬山,2018-01-05 22:00:00,22,32.0,33.9,27.95653341721,-4.04346658279,TT_DOWN
604398,宜蘭空品區,冬山,2018-01-05 23:00:00,23,33.0,32.7,26.87987747653,-6.120122523469998,TT_DOWN
604399,宜蘭空品區,冬山,2018-01-06 00:00:00,0,32.0,23.6,18.71523659304,-13.28476340696,TT_DOWN
604400,宜蘭空品區,冬山,2018-01-06 01:00:00,1,32.0,29.8,24.27795895322,-7.722041046779999,TT_DOWN
604401,宜蘭空品區,冬山,2018-01-06 02:00:00,2,32.0,31.7,25.98266419263,-6.017335807369999,TT_DOWN
604402,宜蘭空品區,冬山,2018-01-06 03:00:00,3,32.0,32.3,26.520992162969996,-5.479007837030004,TT_DOWN
604403,宜蘭空品區,冬山,2018-01-06 04:00:00,4,31.0,30.7,25.08545090873,-5.9145490912700005,TT_DOWN
604404,宜蘭空品區,冬山,2018-01-06 05:00:00,5,31.0,29.3,23.82935231127,-7.17064768873,TT_DOWN
604405,宜蘭空品區,冬山,2018-01-06 06:00:00,6,29.0,23.8,18.89467924982,-10.105320750179999,TT_DOWN
604406,宜蘭空品區,冬山,2018-01-06 07:00:00,7,28.0,20.3,15.75443275617,-12.24556724383,TT_DOWN
604407,宜蘭空品區,冬山,2018-01-06 08:00:00,8,27.0,15.1,11.08892367989,-15.91107632011,TT_DOWN
604408,宜蘭空品區,冬山,2018-01-06 09:00:00,9,25.0,20.7,16.11331806973,-8.88668193027,TT_DOWN
604409,宜蘭空品區,冬山,2018-01-06 10:00:00,10,23.0,15.4,11.358087665060001,-11.641912334939999,TT_DOWN
604410,宜蘭空品區,冬山,2018-01-06 11:00:00,11,22.0,23.4,18.53579393626,-3.4642060637400007,TT_DOWN
604411,宜蘭空品區,冬山,2018-01-06 12:00:00,12,22.0,31.2,25.53405755068,3.53405755068,TT_DOWN
604412,宜蘭空品區,冬山,2018-01-06 13:00:00,13,23.0,30.7,25.08545090873,2.0854509087299995,TT_DOWN
604413,宜蘭空品區,冬山,2018-01-06 14:00:00,14,24.0,33.3,27.418205446869997,3.4182054468699974,TT_DOWN
604414,宜蘭空品區,冬山,2018-01-06 15:00:00,15,25.0,29.2,23.739630982879998,-1.2603690171200022,TT_DOWN
604415,宜蘭空品區,冬山,2018-01-06 16:00:00,16,26.0,22.6,17.818023309140003,-8.181976690859997,TT_DOWN
604416,宜蘭空品區,冬山,2018-01-06 17:00:00,17,24.0,9.4,5.974807961660002,-18.02519203834,TT_DOWN
604417,宜蘭空品區,冬山,2018-01-06 18:00:00,18,27.0,34.1,28.13597607399,1.1359760739900011,TT_DOWN
604418,宜蘭空品區,冬山,2018-01-06 19:00:00,19,28.0,37.3,31.007058582469995,3.0070585824699947,TT_DOWN
604419,宜蘭空品區,冬山,2018-01-06 20:00:00,20,29.0,38.1,31.72482920959,2.7248292095899984,TT_DOWN
604420,宜蘭空品區,冬山,2018-01-06 21:00:00,21,28.0,21.6,16.92081002524,-11.079189974759998,TT_DOWN
604421,宜蘭空品區,冬山,2018-01-06 22:00:00,22,26.0,14.8,10.819759694720002,-15.180240305279998,TT_DOWN
604422,宜蘭空品區,冬山,2018-01-06 23:00:00,23,25.0,20.5,15.933875412950002,-9.066124587049998,TT_DOWN
604423,宜蘭空品區,冬山,2018-01-07 00:00:00,0,25.0,23.5,18.62551526465,-6.3744847353499985,TT_DOWN
604424,宜蘭空品區,冬山,2018-01-07 01:00:00,1,27.0,25.0,19.9713351905,-7.0286648095,TT_DOWN
604425,宜蘭空品區,冬山,2018-01-07 02:00:00,2,26.0,23.9,18.98440057821,-7.01559942179,TT_DOWN
604426,宜蘭空品區,冬山,2018-01-07 03:00:00,3,24.0,25.0,19.9713351905,-4.0286648095,TT_DOWN
604427,宜蘭空品區,冬山,2018-01-07 04:00:00,4,22.0,23.8,18.89467924982,-3.105320750179999,TT_DOWN
604428,宜蘭空品區,冬山,2018-01-07 05:00:00,5,23.0,24.2,19.25356456338,-3.7464354366200006,TT_DOWN
604429,宜蘭空品區,冬山,2018-01-07 06:00:00,6,24.0,22.1,17.369416667190002,-6.630583332809998,TT_DOWN
604430,宜蘭空品區,冬山,2018-01-07 07:00:00,7,26.0,37.8,31.455665224419995,5.455665224419995,TT_DOWN
604431,宜蘭空品區,冬山,2018-01-07 08:00:00,8,27.0,32.3,26.520992162969996,-0.4790078370300037,TT_DOWN
604432,宜蘭空品區,冬山,2018-01-07 09:00:00,9,28.0,32.2,26.43127083458,-1.5687291654199988,TT_DOWN
604433,宜蘭空品區,冬山,2018-01-07 10:00:00,10,29.0,31.2,25.53405755068,-3.46594244932,TT_DOWN
604434,宜蘭空品區,冬山,2018-01-07 11:00:00,11,30.0,34.1,28.13597607399,-1.8640239260099989,TT_DOWN
604435,宜蘭空品區,冬山,2018-01-07 12:00:00,12,31.0,36.6,30.379009283740004,-0.6209907162599961,TT_DOWN
604436,宜蘭空品區,冬山,2018-01-07 13:00:00,13,32.0,31.7,25.98266419263,-6.017335807369999,TT_DOWN
604437,宜蘭空品區,冬山,2018-01-07 14:00:00,14,34.0,38.3,31.904271866369996,-2.095728133630004,TT_DOWN
604438,宜蘭空品區,冬山,2018-01-07 15:00:00,15,34.0,34.7,28.674304044330004,-5.325695955669996,TT_DOWN
604439,宜蘭空品區,冬山,2018-01-07 16:00:00,16,34.0,33.5,27.597648103650002,-6.402351896349998,TT_DOWN
604440,宜蘭空品區,冬山,2018-01-07 17:00:00,17,33.0,27.2,21.94520441508,-11.05479558492,TT_DOWN
604441,宜蘭空品區,冬山,2018-01-07 18:00:00,18,32.0,23.1,18.266629951090003,-13.733370048909997,TT_DOWN
604442,宜蘭空品區,冬山,2018-01-07 19:00:00,19,32.0,28.8,23.38074566932,-8.61925433068,TT_DOWN
604443,宜蘭空品區,冬山,2018-01-07 20:00:00,20,31.0,28.2,22.84241769898,-8.15758230102,TT_DOWN
604444,宜蘭空品區,冬山,2018-01-07 21:00:00,21,30.0,27.6,22.30408972864,-7.695910271359999,TT_DOWN
604445,宜蘭空品區,冬山,2018-01-07 22:00:00,22,29.0,27.9,22.57325371381,-6.426746286189999,TT_DOWN
604446,宜蘭空品區,冬山,2018-01-07 23:00:00,23,28.0,26.3,21.13771245957,-6.86228754043,TT_DOWN
604447,宜蘭空品區,冬山,2018-01-08 00:00:00,0,27.0,25.3,20.24049917567,-6.759500824330001,TT_DOWN
604448,宜蘭空品區,冬山,2018-01-08 01:00:00,1,27.0,28.0,22.6629750422,-4.337024957800001,TT_DOWN
604449,宜蘭空品區,冬山,2018-01-08 02:00:00,2,28.0,30.1,24.54712293839,-3.4528770616099997,TT_DOWN
604450,宜蘭空品區,冬山,2018-01-08 03:00:00,3,28.0,30.2,24.63684426678,-3.363155733220001,TT_DOWN
604451,宜蘭空品區,冬山,2018-01-08 04:00:00,4,28.0,28.2,22.84241769898,-5.15758230102,TT_DOWN
604452,宜蘭空品區,冬山,2018-01-08 05:00:00,5,27.0,20.6,16.02359674134,-10.97640325866,TT_DOWN
604453,宜蘭空品區,冬山,2018-01-08 06:00:00,6,25.0,15.0,10.999202351500001,-14.000797648499999,TT_DOWN
604454,宜蘭空品區,冬山,2018-01-08 07:00:00,7,23.0,9.3,5.885086633270001,-17.11491336673,TT_DOWN
604455,宜蘭空品區,冬山,2018-01-08 08:00:00,8,22.0,10.9,7.3206278875100015,-14.679372112489999,TT_DOWN
604456,宜蘭空品區,冬山,2018-01-08 09:00:00,9,19.0,11.2,7.589791872679999,-11.41020812732,TT_DOWN
604457,宜蘭空品區,冬山,2018-01-08 10:00:00,10,17.0,14.3,10.371153052770001,-6.628846947229999,TT_DOWN
604458,宜蘭空品區,冬山,2018-01-08 11:00:00,11,16.0,19.2,14.767498143880001,-1.232501856119999,TT_DOWN
604459,宜蘭空品區,冬山,2018-01-08 12:00:00,12,15.0,15.5,11.44780899345,-3.55219100655,TT_DOWN
604460,宜蘭空品區,冬山,2018-01-08 13:00:00,13,14.0,18.4,14.049727516759997,0.049727516759997314,TT_DOWN
604461,宜蘭空品區,冬山,2018-01-08 14:00:00,14,16.0,27.9,22.57325371381,6.573253713810001,TT_DOWN
604462,宜蘭空品區,冬山,2018-01-08 15:00:00,15,18.0,23.1,18.266629951090003,0.2666299510900032,TT_DOWN
604463,宜蘭空品區,冬山,2018-01-08 16:00:00,16,18.0,11.0,7.4103492159,-10.5896507841,TT_DOWN
604464,宜蘭空品區,冬山,2018-01-08 17:00:00,17,19.0,21.7,17.01053135363,-1.9894686463699998,TT_DOWN
604465,宜蘭空品區,冬山,2018-01-08 18:00:00,18,20.0,25.2,20.15077784728,0.15077784728000054,TT_DOWN
604466,宜蘭空品區,冬山,2018-01-08 19:00:00,19,21.0,25.8,20.68910581762,-0.3108941823800002,TT_DOWN
604467,宜蘭空品區,冬山,2018-01-08 20:00:00,20,22.0,25.9,20.77882714601,-1.2211728539900015,TT_DOWN
604468,宜蘭空品區,冬山,2018-01-08 21:00:00,21,24.0,29.6,24.098516296440003,0.09851629644000326,TT_DOWN
604469,宜蘭空品區,冬山,2018-01-08 22:00:00,22,24.0,31.8,26.07238552102,2.0723855210199993,TT_DOWN
604470,宜蘭空品區,冬山,2018-01-08 23:00:00,23,25.0,32.9,27.05932013331,2.059320133309999,TT_DOWN
604471,宜蘭空品區,冬山,2018-01-09 00:00:00,0,28.0,32.0,26.2518281778,-1.7481718221999998,TT_DOWN
604472,宜蘭空品區,冬山,2018-01-09 01:00:00,1,29.0,31.4,25.713500207459997,-3.2864997925400026,TT_DOWN
604473,宜蘭空品區,冬山,2018-01-09 02:00:00,2,30.0,31.2,25.53405755068,-4.46594244932,TT_DOWN
604474,宜蘭空品區,冬山,2018-01-09 03:00:00,3,30.0,28.7,23.29102434093,-6.708975659069999,TT_DOWN
604475,宜蘭空品區,冬山,2018-01-09 04:00:00,4,31.0,28.7,23.29102434093,-7.708975659069999,TT_DOWN
604476,宜蘭空品區,冬山,2018-01-09 05:00:00,5,31.0,33.2,27.328484118480002,-3.6715158815199977,TT_DOWN
604477,宜蘭空品區,冬山,2018-01-09 06:00:00,6,31.0,28.7,23.29102434093,-7.708975659069999,TT_DOWN
604478,宜蘭空品區,冬山,2018-01-09 07:00:00,7,30.0,25.4,20.330220504059998,-9.669779495940002,TT_DOWN
604479,宜蘭空品區,冬山,2018-01-09 08:00:00,8,29.0,24.7,19.70217120533,-9.29782879467,TT_DOWN
604481,宜蘭空品區,冬山,2018-01-09 10:00:00,10,27.0,20.4,15.84415408456,-11.15584591544,TT_DOWN
604482,宜蘭空品區,冬山,2018-01-09 11:00:00,11,25.0,12.7,8.93561179853,-16.064388201470003,TT_DOWN
604483,宜蘭空品區,冬山,2018-01-09 12:00:00,12,23.0,15.6,11.53753032184,-11.46246967816,TT_DOWN
604484,宜蘭空品區,冬山,2018-01-09 13:00:00,13,20.0,10.7,7.1411852307300006,-12.85881476927,TT_DOWN
604485,宜蘭空品區,冬山,2018-01-09 14:00:00,14,17.0,10.1,6.6028572603899995,-10.39714273961,TT_DOWN
604486,宜蘭空品區,冬山,2018-01-09 15:00:00,15,15.0,8.9,5.526201319710001,-9.473798680289999,TT_DOWN
604487,宜蘭空品區,冬山,2018-01-09 16:00:00,16,12.0,9.0,5.6159226481,-6.3840773519,TT_DOWN
604488,宜蘭空品區,冬山,2018-01-09 17:00:00,17,12.0,12.3,8.576726484970001,-3.423273515029999,TT_DOWN
604489,宜蘭空品區,冬山,2018-01-09 18:00:00,18,11.0,6.4,3.2831681099600005,-7.71683189004,TT_DOWN
604490,宜蘭空品區,冬山,2018-01-09 19:00:00,19,10.0,9.0,5.6159226481,-4.3840773519,TT_DOWN
604491,宜蘭空品區,冬山,2018-01-09 20:00:00,20,10.0,11.9,8.21784117141,-1.7821588285899992,TT_DOWN
604492,宜蘭空品區,冬山,2018-01-09 21:00:00,21,11.0,16.5,12.345022277350001,1.345022277350001,TT_DOWN
604493,宜蘭空品區,冬山,2018-01-09 22:00:00,22,12.0,19.6,15.126383457440003,3.126383457440003,TT_DOWN
604494,宜蘭空品區,冬山,2018-01-09 23:00:00,23,14.0,24.7,19.70217120533,5.70217120533,TT_DOWN
604495,宜蘭空品區,冬山,2018-01-10 00:00:00,0,15.0,20.5,15.933875412950002,0.9338754129500018,TT_DOWN
604496,宜蘭空品區,冬山,2018-01-10 01:00:00,1,16.0,21.3,16.651646040070002,0.6516460400700019,TT_DOWN
604497,宜蘭空品區,冬山,2018-01-10 02:00:00,2,19.0,28.1,22.75269637059,3.7526963705900016,TT_DOWN
604498,宜蘭空品區,冬山,2018-01-10 03:00:00,3,21.0,27.2,21.94520441508,0.9452044150799992,TT_DOWN
604499,宜蘭空品區,冬山,2018-01-10 04:00:00,4,23.0,26.2,21.047991131179998,-1.952008868820002,TT_DOWN
604500,宜蘭空品區,冬山,2018-01-10 05:00:00,5,25.0,35.0,28.9434680295,3.9434680295,TT_DOWN
604501,宜蘭空品區,冬山,2018-01-10 06:00:00,6,27.0,30.9,25.26489356551,-1.7351064344899996,TT_DOWN
